"time";"c1x";"c1y";"c2x";"c2y";"c3x";"c3y";"ttx";"tty";"jaw";"larynx_height";"f0";"amplitude";"breathing";"comment"
"0";25;-14;13;16;-7;9;15;5;"22.1";"7.6";100;"0.4";"0";"a'"
0.4;25;-14;13;16;-7;9;15;5;"22.1";"7.6";110;"0.8";"0";"a'"
"0.7";"-33.1";"32.1";"7.5";"-3.3";1;1;15;5;"6.8";"7.6";110;"0.8";"0";"I"
1.1;"-33.1";"32.1";"7.5";"-3.3";1;1;15;5;"6.8";"7.6";100;"0.8";"0";"I"
1.2;"-33.1";"32.1";"7.5";"-3.3";1;1;15;5;"6.8";"7.6";90;"0.0";"0";"I"
1.3;5;-11;7.5;-3.3;1;1;18;14.5;"6.8";"7.6";80;"0.0";"0";"L"
1.4;5;-11;7.5;-3.3;1;1;18;14.5;"6.8";"7.6";90;"0.8";"0";"L"
1.5;5;-11;7.5;-3.3;1;1;18;14.5;"6.8";"7.6";100;"0.8";"0";"L"
"1.7";25;-14;13;16;-7;9;15;5;"22.1";"7.6";100;"0.8";"0";"a'"
2;25;-14;13;16;-7;9;15;5;"22.1";"7.6";110;"0.8";"0";"a'"
"2.2";37;3;"7.5";"-3.3";1;1;10.5;5.5;"1.8";"7.6";100;"0.8";"0";"v"
2.5;37;3;"7.5";"-3.3";1;1;10.5;5.5;"1.8";"7.6";100;"0.6";"0";"v"
2.6;"-33.1";"32.1";"7.5";"-3.3";1;1;15;5;"6.8";"7.6";90;"0.6";"0";"I"
"2.8";62;-27;"7.5";"-3.3";1;1;16;"19";"14.9";"7.6";100;"0.8";"0";"u"
3.3;62;-27;"7.5";"-3.3";1;1;16;"19";"14.9";"7.6";100;"0.8";"0";"u"
3.5;62;-27;"7.5";"-3.3";1;1;16;"19";"14.9";"7.6";90;"0.0";"0";"u"
4;"-33.1";"32.1";"7.5";"-3.3";1;1;15;5;"6.8";"7.6";110;"0.0";"1";"I"
