-0,018;0,092;0,244
-0,023;0,135;0,218
-0,054;0,197;0,219
-0,1;0,248;0,22
-0,148;0,275;0,209
-0,188;0,277;0,183
-0,218;0,261;0,145
-0,236;0,233;0,098
-0,244;0,197;0,046
-0,246;0,159;-0,009
-0,244;0,12;-0,064
-0,24;0,082;-0,118
-0,234;0,043;-0,167
-0,229;0,008;-0,208
-0,225;-0,025;-0,236
-0,224;-0,053;-0,248
-0,225;-0,077;-0,238
-0,227;-0,101;-0,203
-0,227;-0,127;-0,143
-0,222;-0,159;-0,06
-0,211;-0,201;0,04
-0,195;-0,25;0,15
-0,181;-0,299;0,258
-0,175;-0,341;0,347
-0,177;-0,376;0,384
