"time;""c1x"";""c1y"";""c2x"";""c2y"";""c3x"";""c3y"";""ttx"";""tty"";""jaw"";""larynx_height"";""f0"";""amplitude"";""breathing"";""comment"";""frequency"";;;"
"0;56;-40;-17;5;7;-5;18;1;""7.1"";""7.6"";110;""0.5"";""0"";""o"";110;110;;""1.059463094"""
"1;56;-40;-17;5;7;-5;18;1;""7.1"";""7.6"";110;""0.5"";""0"";""o"";110;110;;"
"1.1;-3;17;""7.5"";""-3.3"";1;1;15;5;""10.2"";""7.6"";""123.47082523"";""0.5"";""0"";""?"";""110*1.05946309*1.05946309"";""123.47082523"";;"
"2;-3;17;""7.5"";""-3.3"";1;1;15;5;""10.2"";""7.6"";""123.47082523"";""0.5"";""0"";""?"";""110*1.05946309*1.05946309"";""123.47082523"";;"
"2.1;""-33.1"";""32.1"";""7.5"";""-3.3"";1;1;15;5;""6.8"";""7.6"";""138.591314254"";""0.5"";""0"";""I"";""123.47082523*1.05946309*1.05946309"";""138.591314254"";;"
"3;""-33.1"";""32.1"";""7.5"";""-3.3"";1;1;15;5;""6.8"";""7.6"";""138.591314254"";""0.5"";""0"";""I"";""123.47082523*1.05946309*1.05946309"";""138.591314254"";;"
"3.1;25;-14;13;16;-7;9;15;5;""22.1"";""7.6"";""146.832382047"";""0.5"";""0"";""?"";""138.591314254*1.05946309"";""146.832382047"";;"
"4;25;-14;13;16;-7;9;15;5;""22.1"";""7.6"";""146.832382047"";""0.5"";""0"";""?"";""138.591314254*1.05946309"";""146.832382047"";;"
"4.1;56;-40;-17;5;7;-5;18;1;""7.1"";""7.6"";""164.813774954"";""0.5"";""0"";""o"";""146.832382047*1.05946309*1.05946309"";""164.813774954"";;"
"5;56;-40;-17;5;7;-5;18;1;""7.1"";""7.6"";""164.813774954"";""0.5"";""0"";""o"";""146.832382047*1.05946309*1.05946309"";""164.813774954"";;"
"5.1;25;-14;13;16;-7;9;15;5;""22.1"";""7.6"";""184.997205902"";""0.5"";""0"";""?"";""164.813774954*1.05946309*1.05946309"";""184.997205902"";;"
"6;25;-14;13;16;-7;9;15;5;""22.1"";""7.6"";""184.997205902"";""0.5"";""0"";""?"";""164.813774954*1.05946309*1.05946309"";""184.997205902"";;"
"6.1;""-33.1"";""32.1"";""7.5"";""-3.3"";1;1;15;5;""6.8"";""7.6"";""207.652340959"";""0.5"";""0"";""I"";""184.997205902*1.05946309*1.05946309"";""207.652340959"";;"
"7;""-33.1"";""32.1"";""7.5"";""-3.3"";1;1;15;5;""6.8"";""7.6"";""207.652340959"";""0.5"";""0"";""I"";""184.997205902*1.05946309*1.05946309"";""207.652340959"";;"
"7.1;56;-40;-17;5;7;-5;18;1;""7.1"";""7.6"";220;""0.5"";""0"";""o"";""207.652340959*1.05946309"";220;;"
"8;56;-40;-17;5;7;-5;18;1;""7.1"";""7.6"";220;""0.5"";""0"";""o"";""207.652340959*1.05946309"";220;;"
